filepath,label,tumor,sequence
/content/brain_mri_work/clean/Astrocytoma/4ecafa2fbbc3779d0bcee7405fd525_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (13)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (6)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (5)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/efedbc88b26b2c80da45d90ec2ea51_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/d2975582193f17c4832270cf3659353c37ff2e2074edb5708dc527ce4d6bcc78_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (16)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/ff6d1d923139cf674892deeb97b550_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/79eacdd1d292b7aa796e2e46f7459e3879eea4ea6a860b745ad42167cc5093e8_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_08_58-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/63c2d3f0bc294a647794429bb8bd54_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/ecdcc3c21e5bb67fd86822053b178c_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/fe14d86f1fa361c2c812a92560fe46_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/5dd45cbce898b8de1223d43f630138_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (10)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_08_48-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/05899aa824a60c863097d3c9105009c18e25246abea155839c216ceab0273a18_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (1)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/943644f925eb30ee075c4169e61052_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_08_42-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (15)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_08_17-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/fbcf8cb4dd01aa28f76ce84f25e547_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (7)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_08_00-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_30_15-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (7)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_09_02-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2161eeaf58985bd91252cb8a2cd662_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
